HOSTNAME,JOIN,PHASE,PARTITION_COUNT,RUN_ID,RUNTIME_MS
cx05,HashJoin,"1 - HashTableBuild",8,0,4131
cx05,HashJoin,"2 - HashTableFinalization",8,0,12046
cx05,HashJoin,"3 - ProbeSidePartitioning",8,0,1623
cx05,HashJoin,"4 - Joining",8,0,3709
cx05,HashJoin,"1 - HashTableBuild",8,1,4498
cx05,HashJoin,"2 - HashTableFinalization",8,1,11581
cx05,HashJoin,"3 - ProbeSidePartitioning",8,1,1623
cx05,HashJoin,"4 - Joining",8,1,3568
cx05,HashJoin,"1 - HashTableBuild",8,2,4196
cx05,HashJoin,"2 - HashTableFinalization",8,2,11405
cx05,HashJoin,"3 - ProbeSidePartitioning",8,2,1626
cx05,HashJoin,"4 - Joining",8,2,3557
cx05,HashJoin,"1 - HashTableBuild",8,3,4241
cx05,HashJoin,"2 - HashTableFinalization",8,3,11655
cx05,HashJoin,"3 - ProbeSidePartitioning",8,3,1626
cx05,HashJoin,"4 - Joining",8,3,3567
cx05,HashJoin,"1 - HashTableBuild",8,4,4151
cx05,HashJoin,"2 - HashTableFinalization",8,4,11782
cx05,HashJoin,"3 - ProbeSidePartitioning",8,4,1625
cx05,HashJoin,"4 - Joining",8,4,3603
cx05,HashJoin,"1 - HashTableBuild",8,5,4015
cx05,HashJoin,"2 - HashTableFinalization",8,5,11697
cx05,HashJoin,"3 - ProbeSidePartitioning",8,5,1627
cx05,HashJoin,"4 - Joining",8,5,3569
cx05,HashJoin,"1 - HashTableBuild",8,6,4257
cx05,HashJoin,"2 - HashTableFinalization",8,6,11851
cx05,HashJoin,"3 - ProbeSidePartitioning",8,6,1622
cx05,HashJoin,"4 - Joining",8,6,3578
cx05,HashJoin,"1 - HashTableBuild",8,7,4220
cx05,HashJoin,"2 - HashTableFinalization",8,7,11806
cx05,HashJoin,"3 - ProbeSidePartitioning",8,7,1626
cx05,HashJoin,"4 - Joining",8,7,3564
cx05,HashJoin,"1 - HashTableBuild",8,8,4272
cx05,HashJoin,"2 - HashTableFinalization",8,8,11825
cx05,HashJoin,"3 - ProbeSidePartitioning",8,8,1622
cx05,HashJoin,"4 - Joining",8,8,3595
cx05,HashJoin,"1 - HashTableBuild",8,9,4260
cx05,HashJoin,"2 - HashTableFinalization",8,9,11819
cx05,HashJoin,"3 - ProbeSidePartitioning",8,9,1621
cx05,HashJoin,"4 - Joining",8,9,3574
cx05,HashJoin,"1 - HashTableBuild",16,0,4277
cx05,HashJoin,"2 - HashTableFinalization",16,0,11506
cx05,HashJoin,"3 - ProbeSidePartitioning",16,0,1627
cx05,HashJoin,"4 - Joining",16,0,3322
cx05,HashJoin,"1 - HashTableBuild",16,1,4201
cx05,HashJoin,"2 - HashTableFinalization",16,1,11587
cx05,HashJoin,"3 - ProbeSidePartitioning",16,1,1629
cx05,HashJoin,"4 - Joining",16,1,3323
cx05,HashJoin,"1 - HashTableBuild",16,2,4211
cx05,HashJoin,"2 - HashTableFinalization",16,2,11435
cx05,HashJoin,"3 - ProbeSidePartitioning",16,2,1628
cx05,HashJoin,"4 - Joining",16,2,3323
cx05,HashJoin,"1 - HashTableBuild",16,3,4146
cx05,HashJoin,"2 - HashTableFinalization",16,3,11506
cx05,HashJoin,"3 - ProbeSidePartitioning",16,3,1628
cx05,HashJoin,"4 - Joining",16,3,3339
cx05,HashJoin,"1 - HashTableBuild",16,4,4206
cx05,HashJoin,"2 - HashTableFinalization",16,4,11773
cx05,HashJoin,"3 - ProbeSidePartitioning",16,4,1629
cx05,HashJoin,"4 - Joining",16,4,3320
cx05,HashJoin,"1 - HashTableBuild",16,5,4196
cx05,HashJoin,"2 - HashTableFinalization",16,5,11394
cx05,HashJoin,"3 - ProbeSidePartitioning",16,5,1628
cx05,HashJoin,"4 - Joining",16,5,3409
cx05,HashJoin,"1 - HashTableBuild",16,6,4290
cx05,HashJoin,"2 - HashTableFinalization",16,6,11266
cx05,HashJoin,"3 - ProbeSidePartitioning",16,6,1628
cx05,HashJoin,"4 - Joining",16,6,3325
cx05,HashJoin,"1 - HashTableBuild",16,7,4190
cx05,HashJoin,"2 - HashTableFinalization",16,7,11504
cx05,HashJoin,"3 - ProbeSidePartitioning",16,7,1628
cx05,HashJoin,"4 - Joining",16,7,3316
cx05,HashJoin,"1 - HashTableBuild",16,8,4209
cx05,HashJoin,"2 - HashTableFinalization",16,8,11597
cx05,HashJoin,"3 - ProbeSidePartitioning",16,8,1628
cx05,HashJoin,"4 - Joining",16,8,3332
cx05,HashJoin,"1 - HashTableBuild",16,9,4298
cx05,HashJoin,"2 - HashTableFinalization",16,9,11401
cx05,HashJoin,"3 - ProbeSidePartitioning",16,9,1628
cx05,HashJoin,"4 - Joining",16,9,3316
cx05,HashJoin,"1 - HashTableBuild",32,0,4269
cx05,HashJoin,"2 - HashTableFinalization",32,0,11309
cx05,HashJoin,"3 - ProbeSidePartitioning",32,0,1632
cx05,HashJoin,"4 - Joining",32,0,3470
cx05,HashJoin,"1 - HashTableBuild",32,1,4152
cx05,HashJoin,"2 - HashTableFinalization",32,1,11723
cx05,HashJoin,"3 - ProbeSidePartitioning",32,1,1642
cx05,HashJoin,"4 - Joining",32,1,3494
cx05,HashJoin,"1 - HashTableBuild",32,2,4240
cx05,HashJoin,"2 - HashTableFinalization",32,2,11581
cx05,HashJoin,"3 - ProbeSidePartitioning",32,2,1635
cx05,HashJoin,"4 - Joining",32,2,3488
cx05,HashJoin,"1 - HashTableBuild",32,3,4217
cx05,HashJoin,"2 - HashTableFinalization",32,3,11523
cx05,HashJoin,"3 - ProbeSidePartitioning",32,3,1633
cx05,HashJoin,"4 - Joining",32,3,3478
cx05,HashJoin,"1 - HashTableBuild",32,4,4184
cx05,HashJoin,"2 - HashTableFinalization",32,4,11629
cx05,HashJoin,"3 - ProbeSidePartitioning",32,4,1632
cx05,HashJoin,"4 - Joining",32,4,3465
cx05,HashJoin,"1 - HashTableBuild",32,5,4205
cx05,HashJoin,"2 - HashTableFinalization",32,5,11885
cx05,HashJoin,"3 - ProbeSidePartitioning",32,5,1633
cx05,HashJoin,"4 - Joining",32,5,3487
cx05,HashJoin,"1 - HashTableBuild",32,6,4180
cx05,HashJoin,"2 - HashTableFinalization",32,6,11716
cx05,HashJoin,"3 - ProbeSidePartitioning",32,6,1635
cx05,HashJoin,"4 - Joining",32,6,3469
cx05,HashJoin,"1 - HashTableBuild",32,7,4266
cx05,HashJoin,"2 - HashTableFinalization",32,7,11521
cx05,HashJoin,"3 - ProbeSidePartitioning",32,7,1635
cx05,HashJoin,"4 - Joining",32,7,3470
cx05,HashJoin,"1 - HashTableBuild",32,8,4303
cx05,HashJoin,"2 - HashTableFinalization",32,8,11593
cx05,HashJoin,"3 - ProbeSidePartitioning",32,8,1634
cx05,HashJoin,"4 - Joining",32,8,3485
cx05,HashJoin,"1 - HashTableBuild",32,9,4134
cx05,HashJoin,"2 - HashTableFinalization",32,9,11807
cx05,HashJoin,"3 - ProbeSidePartitioning",32,9,1634
cx05,HashJoin,"4 - Joining",32,9,3496
cx05,HashJoin,"1 - HashTableBuild",64,0,4158
cx05,HashJoin,"2 - HashTableFinalization",64,0,11583
cx05,HashJoin,"3 - ProbeSidePartitioning",64,0,1736
cx05,HashJoin,"4 - Joining",64,0,3020
cx05,HashJoin,"1 - HashTableBuild",64,1,4167
cx05,HashJoin,"2 - HashTableFinalization",64,1,11675
cx05,HashJoin,"3 - ProbeSidePartitioning",64,1,1735
cx05,HashJoin,"4 - Joining",64,1,3037
cx05,HashJoin,"1 - HashTableBuild",64,2,4173
cx05,HashJoin,"2 - HashTableFinalization",64,2,11729
cx05,HashJoin,"3 - ProbeSidePartitioning",64,2,1737
cx05,HashJoin,"4 - Joining",64,2,3028
cx05,HashJoin,"1 - HashTableBuild",64,3,4193
cx05,HashJoin,"2 - HashTableFinalization",64,3,11717
cx05,HashJoin,"3 - ProbeSidePartitioning",64,3,1737
cx05,HashJoin,"4 - Joining",64,3,3028
cx05,HashJoin,"1 - HashTableBuild",64,4,4250
cx05,HashJoin,"2 - HashTableFinalization",64,4,11689
cx05,HashJoin,"3 - ProbeSidePartitioning",64,4,1735
cx05,HashJoin,"4 - Joining",64,4,3028
cx05,HashJoin,"1 - HashTableBuild",64,5,4189
cx05,HashJoin,"2 - HashTableFinalization",64,5,11872
cx05,HashJoin,"3 - ProbeSidePartitioning",64,5,1736
cx05,HashJoin,"4 - Joining",64,5,3033
cx05,HashJoin,"1 - HashTableBuild",64,6,4282
cx05,HashJoin,"2 - HashTableFinalization",64,6,11542
cx05,HashJoin,"3 - ProbeSidePartitioning",64,6,1745
cx05,HashJoin,"4 - Joining",64,6,2995
cx05,HashJoin,"1 - HashTableBuild",64,7,4313
cx05,HashJoin,"2 - HashTableFinalization",64,7,11455
cx05,HashJoin,"3 - ProbeSidePartitioning",64,7,1737
cx05,HashJoin,"4 - Joining",64,7,3015
cx05,HashJoin,"1 - HashTableBuild",64,8,4199
cx05,HashJoin,"2 - HashTableFinalization",64,8,11673
cx05,HashJoin,"3 - ProbeSidePartitioning",64,8,1737
cx05,HashJoin,"4 - Joining",64,8,3030
cx05,HashJoin,"1 - HashTableBuild",64,9,4175
cx05,HashJoin,"2 - HashTableFinalization",64,9,12102
cx05,HashJoin,"3 - ProbeSidePartitioning",64,9,1736
cx05,HashJoin,"4 - Joining",64,9,3018
cx05,HashJoin,"1 - HashTableBuild",128,0,4166
cx05,HashJoin,"2 - HashTableFinalization",128,0,11942
cx05,HashJoin,"3 - ProbeSidePartitioning",128,0,1777
cx05,HashJoin,"4 - Joining",128,0,2606
cx05,HashJoin,"1 - HashTableBuild",128,1,4174
cx05,HashJoin,"2 - HashTableFinalization",128,1,11893
cx05,HashJoin,"3 - ProbeSidePartitioning",128,1,1776
cx05,HashJoin,"4 - Joining",128,1,2591
cx05,HashJoin,"1 - HashTableBuild",128,2,4082
cx05,HashJoin,"2 - HashTableFinalization",128,2,11953
cx05,HashJoin,"3 - ProbeSidePartitioning",128,2,1776
cx05,HashJoin,"4 - Joining",128,2,2586
cx05,HashJoin,"1 - HashTableBuild",128,3,4150
cx05,HashJoin,"2 - HashTableFinalization",128,3,11972
cx05,HashJoin,"3 - ProbeSidePartitioning",128,3,1778
cx05,HashJoin,"4 - Joining",128,3,2618
cx05,HashJoin,"1 - HashTableBuild",128,4,4236
cx05,HashJoin,"2 - HashTableFinalization",128,4,11776
cx05,HashJoin,"3 - ProbeSidePartitioning",128,4,2030
cx05,HashJoin,"4 - Joining",128,4,2586
cx05,HashJoin,"1 - HashTableBuild",128,5,4262
cx05,HashJoin,"2 - HashTableFinalization",128,5,11692
cx05,HashJoin,"3 - ProbeSidePartitioning",128,5,1778
cx05,HashJoin,"4 - Joining",128,5,2599
cx05,HashJoin,"1 - HashTableBuild",128,6,4276
cx05,HashJoin,"2 - HashTableFinalization",128,6,11731
cx05,HashJoin,"3 - ProbeSidePartitioning",128,6,1777
cx05,HashJoin,"4 - Joining",128,6,2686
cx05,HashJoin,"1 - HashTableBuild",128,7,4227
cx05,HashJoin,"2 - HashTableFinalization",128,7,11740
cx05,HashJoin,"3 - ProbeSidePartitioning",128,7,1787
cx05,HashJoin,"4 - Joining",128,7,2583
cx05,HashJoin,"1 - HashTableBuild",128,8,4183
cx05,HashJoin,"2 - HashTableFinalization",128,8,11776
cx05,HashJoin,"3 - ProbeSidePartitioning",128,8,1778
cx05,HashJoin,"4 - Joining",128,8,2602
cx05,HashJoin,"1 - HashTableBuild",128,9,4188
cx05,HashJoin,"2 - HashTableFinalization",128,9,11737
cx05,HashJoin,"3 - ProbeSidePartitioning",128,9,1778
cx05,HashJoin,"4 - Joining",128,9,2630
cx05,HashJoin,"1 - HashTableBuild",256,0,4158
cx05,HashJoin,"2 - HashTableFinalization",256,0,12055
cx05,HashJoin,"3 - ProbeSidePartitioning",256,0,1865
cx05,HashJoin,"4 - Joining",256,0,2114
cx05,HashJoin,"1 - HashTableBuild",256,1,4174
cx05,HashJoin,"2 - HashTableFinalization",256,1,11941
cx05,HashJoin,"3 - ProbeSidePartitioning",256,1,1864
cx05,HashJoin,"4 - Joining",256,1,2121
cx05,HashJoin,"1 - HashTableBuild",256,2,4193
