HOSTNAME,JOIN,PHASE,PARTITION_COUNT,RUN_ID,RUNTIME_MS
nx05,HashJoin,"1 - HashTableBuild",8,0,3585
nx05,HashJoin,"2 - HashTableFinalization",8,0,12029
nx05,HashJoin,"3 - ProbeSidePartitioning",8,0,1471
nx05,HashJoin,"4 - Joining",8,0,3233
nx05,HashJoin,"1 - HashTableBuild",8,1,4141
nx05,HashJoin,"2 - HashTableFinalization",8,1,11808
nx05,HashJoin,"3 - ProbeSidePartitioning",8,1,1497
nx05,HashJoin,"4 - Joining",8,1,3034
nx05,HashJoin,"1 - HashTableBuild",8,2,4323
nx05,HashJoin,"2 - HashTableFinalization",8,2,12152
nx05,HashJoin,"3 - ProbeSidePartitioning",8,2,1504
nx05,HashJoin,"4 - Joining",8,2,3015
nx05,HashJoin,"1 - HashTableBuild",8,3,4455
nx05,HashJoin,"2 - HashTableFinalization",8,3,12195
nx05,HashJoin,"3 - ProbeSidePartitioning",8,3,1505
nx05,HashJoin,"4 - Joining",8,3,3020
nx05,HashJoin,"1 - HashTableBuild",8,4,4481
nx05,HashJoin,"2 - HashTableFinalization",8,4,12171
nx05,HashJoin,"3 - ProbeSidePartitioning",8,4,1505
nx05,HashJoin,"4 - Joining",8,4,3013
nx05,HashJoin,"1 - HashTableBuild",8,5,4469
nx05,HashJoin,"2 - HashTableFinalization",8,5,12170
nx05,HashJoin,"3 - ProbeSidePartitioning",8,5,1504
nx05,HashJoin,"4 - Joining",8,5,3030
nx05,HashJoin,"1 - HashTableBuild",8,6,4459
nx05,HashJoin,"2 - HashTableFinalization",8,6,12159
nx05,HashJoin,"3 - ProbeSidePartitioning",8,6,1505
nx05,HashJoin,"4 - Joining",8,6,3016
nx05,HashJoin,"1 - HashTableBuild",8,7,4454
nx05,HashJoin,"2 - HashTableFinalization",8,7,12138
nx05,HashJoin,"3 - ProbeSidePartitioning",8,7,1503
nx05,HashJoin,"4 - Joining",8,7,3033
nx05,HashJoin,"1 - HashTableBuild",8,8,4450
nx05,HashJoin,"2 - HashTableFinalization",8,8,12169
nx05,HashJoin,"3 - ProbeSidePartitioning",8,8,1503
nx05,HashJoin,"4 - Joining",8,8,3030
nx05,HashJoin,"1 - HashTableBuild",8,9,4451
nx05,HashJoin,"2 - HashTableFinalization",8,9,12157
nx05,HashJoin,"3 - ProbeSidePartitioning",8,9,1505
nx05,HashJoin,"4 - Joining",8,9,3053
nx05,HashJoin,"1 - HashTableBuild",16,0,4467
nx05,HashJoin,"2 - HashTableFinalization",16,0,12545
nx05,HashJoin,"3 - ProbeSidePartitioning",16,0,1518
nx05,HashJoin,"4 - Joining",16,0,2689
nx05,HashJoin,"1 - HashTableBuild",16,1,4454
nx05,HashJoin,"2 - HashTableFinalization",16,1,12537
nx05,HashJoin,"3 - ProbeSidePartitioning",16,1,1519
nx05,HashJoin,"4 - Joining",16,1,2608
nx05,HashJoin,"1 - HashTableBuild",16,2,4456
nx05,HashJoin,"2 - HashTableFinalization",16,2,12526
nx05,HashJoin,"3 - ProbeSidePartitioning",16,2,1517
nx05,HashJoin,"4 - Joining",16,2,2651
nx05,HashJoin,"1 - HashTableBuild",16,3,4461
nx05,HashJoin,"2 - HashTableFinalization",16,3,12444
nx05,HashJoin,"3 - ProbeSidePartitioning",16,3,1517
nx05,HashJoin,"4 - Joining",16,3,2624
nx05,HashJoin,"1 - HashTableBuild",16,4,4474
nx05,HashJoin,"2 - HashTableFinalization",16,4,12511
nx05,HashJoin,"3 - ProbeSidePartitioning",16,4,1515
nx05,HashJoin,"4 - Joining",16,4,2642
nx05,HashJoin,"1 - HashTableBuild",16,5,4507
nx05,HashJoin,"2 - HashTableFinalization",16,5,12519
nx05,HashJoin,"3 - ProbeSidePartitioning",16,5,1517
nx05,HashJoin,"4 - Joining",16,5,2670
nx05,HashJoin,"1 - HashTableBuild",16,6,4476
nx05,HashJoin,"2 - HashTableFinalization",16,6,12537
nx05,HashJoin,"3 - ProbeSidePartitioning",16,6,1519
nx05,HashJoin,"4 - Joining",16,6,2676
nx05,HashJoin,"1 - HashTableBuild",16,7,4480
nx05,HashJoin,"2 - HashTableFinalization",16,7,12535
nx05,HashJoin,"3 - ProbeSidePartitioning",16,7,1517
nx05,HashJoin,"4 - Joining",16,7,2637
nx05,HashJoin,"1 - HashTableBuild",16,8,4477
nx05,HashJoin,"2 - HashTableFinalization",16,8,12536
nx05,HashJoin,"3 - ProbeSidePartitioning",16,8,1517
nx05,HashJoin,"4 - Joining",16,8,2628
nx05,HashJoin,"1 - HashTableBuild",16,9,4456
nx05,HashJoin,"2 - HashTableFinalization",16,9,12519
nx05,HashJoin,"3 - ProbeSidePartitioning",16,9,1517
nx05,HashJoin,"4 - Joining",16,9,2634
nx05,HashJoin,"1 - HashTableBuild",32,0,4463
nx05,HashJoin,"2 - HashTableFinalization",32,0,12694
nx05,HashJoin,"3 - ProbeSidePartitioning",32,0,1530
nx05,HashJoin,"4 - Joining",32,0,2554
nx05,HashJoin,"1 - HashTableBuild",32,1,4471
nx05,HashJoin,"2 - HashTableFinalization",32,1,12686
nx05,HashJoin,"3 - ProbeSidePartitioning",32,1,1528
nx05,HashJoin,"4 - Joining",32,1,2559
nx05,HashJoin,"1 - HashTableBuild",32,2,4465
nx05,HashJoin,"2 - HashTableFinalization",32,2,12678
nx05,HashJoin,"3 - ProbeSidePartitioning",32,2,1526
nx05,HashJoin,"4 - Joining",32,2,2552
nx05,HashJoin,"1 - HashTableBuild",32,3,4479
nx05,HashJoin,"2 - HashTableFinalization",32,3,12675
nx05,HashJoin,"3 - ProbeSidePartitioning",32,3,1525
nx05,HashJoin,"4 - Joining",32,3,2535
nx05,HashJoin,"1 - HashTableBuild",32,4,4497
nx05,HashJoin,"2 - HashTableFinalization",32,4,12468
nx05,HashJoin,"3 - ProbeSidePartitioning",32,4,1526
nx05,HashJoin,"4 - Joining",32,4,2546
nx05,HashJoin,"1 - HashTableBuild",32,5,4457
nx05,HashJoin,"2 - HashTableFinalization",32,5,12644
nx05,HashJoin,"3 - ProbeSidePartitioning",32,5,1526
nx05,HashJoin,"4 - Joining",32,5,2524
nx05,HashJoin,"1 - HashTableBuild",32,6,4462
nx05,HashJoin,"2 - HashTableFinalization",32,6,12683
nx05,HashJoin,"3 - ProbeSidePartitioning",32,6,1526
nx05,HashJoin,"4 - Joining",32,6,2543
nx05,HashJoin,"1 - HashTableBuild",32,7,4446
nx05,HashJoin,"2 - HashTableFinalization",32,7,12684
nx05,HashJoin,"3 - ProbeSidePartitioning",32,7,1527
nx05,HashJoin,"4 - Joining",32,7,2547
nx05,HashJoin,"1 - HashTableBuild",32,8,4460
nx05,HashJoin,"2 - HashTableFinalization",32,8,12478
nx05,HashJoin,"3 - ProbeSidePartitioning",32,8,1525
nx05,HashJoin,"4 - Joining",32,8,2542
nx05,HashJoin,"1 - HashTableBuild",32,9,4468
nx05,HashJoin,"2 - HashTableFinalization",32,9,12688
nx05,HashJoin,"3 - ProbeSidePartitioning",32,9,1527
nx05,HashJoin,"4 - Joining",32,9,2533
nx05,HashJoin,"1 - HashTableBuild",64,0,4455
nx05,HashJoin,"2 - HashTableFinalization",64,0,12562
nx05,HashJoin,"3 - ProbeSidePartitioning",64,0,1536
nx05,HashJoin,"4 - Joining",64,0,2162
nx05,HashJoin,"1 - HashTableBuild",64,1,4457
nx05,HashJoin,"2 - HashTableFinalization",64,1,12719
nx05,HashJoin,"3 - ProbeSidePartitioning",64,1,1535
nx05,HashJoin,"4 - Joining",64,1,2034
nx05,HashJoin,"1 - HashTableBuild",64,2,4457
nx05,HashJoin,"2 - HashTableFinalization",64,2,12774
nx05,HashJoin,"3 - ProbeSidePartitioning",64,2,1536
nx05,HashJoin,"4 - Joining",64,2,2082
nx05,HashJoin,"1 - HashTableBuild",64,3,4469
nx05,HashJoin,"2 - HashTableFinalization",64,3,12785
nx05,HashJoin,"3 - ProbeSidePartitioning",64,3,1535
nx05,HashJoin,"4 - Joining",64,3,2061
nx05,HashJoin,"1 - HashTableBuild",64,4,4467
