name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"StarSchemaDataMicroBenchmarkFixture/SemiJoinWorstCase",3,2.41027e+08,2.40807e+08,ns,,,,,
"StarSchemaDataMicroBenchmarkFixture/SemiJoinBestCase",16,4.22986e+07,4.22759e+07,ns,,,,,
"StarSchemaDataMicroBenchmarkFixture/SemiJoinBadCase",3,2.13479e+08,2.13479e+08,ns,,,,,
"StarSchemaDataMicroBenchmarkFixture/LegacyWorstCase",8,8.07923e+07,8.07556e+07,ns,,,,,
"StarSchemaDataMicroBenchmarkFixture/LegacyBestCase",15,4.33539e+07,4.3235e+07,ns,,,,,
"StarSchemaDataMicroBenchmarkFixture/LegacyBadCase",8,9.16291e+07,9.15752e+07,ns,,,,,
"StarSchemaDataMicroBenchmarkFixture/PrototypeWorstCase/18/1",6,1.06465e+08,1.06411e+08,ns,,,,,
"StarSchemaDataMicroBenchmarkFixture/PrototypeWorstCase/18/2",6,1.17595e+08,1.17566e+08,ns,,,,,
"StarSchemaDataMicroBenchmarkFixture/PrototypeWorstCase/18/3",5,1.33846e+08,1.33709e+08,ns,,,,,
"StarSchemaDataMicroBenchmarkFixture/PrototypeWorstCase/19/1",7,1.04695e+08,1.04643e+08,ns,,,,,
"StarSchemaDataMicroBenchmarkFixture/PrototypeWorstCase/19/2",6,1.01779e+08,1.0175e+08,ns,,,,,
"StarSchemaDataMicroBenchmarkFixture/PrototypeWorstCase/19/3",6,1.13417e+08,1.13379e+08,ns,,,,,
"StarSchemaDataMicroBenchmarkFixture/PrototypeWorstCase/20/1",8,8.99371e+07,8.98719e+07,ns,,,,,
"StarSchemaDataMicroBenchmarkFixture/PrototypeWorstCase/20/2",7,9.99151e+07,9.98147e+07,ns,,,,,
"StarSchemaDataMicroBenchmarkFixture/PrototypeWorstCase/20/3",5,1.32231e+08,1.32158e+08,ns,,,,,
"StarSchemaDataMicroBenchmarkFixture/PrototypeBestCase/18/1",10,7.2333e+07,7.22762e+07,ns,,,,,
"StarSchemaDataMicroBenchmarkFixture/PrototypeBestCase/18/2",8,8.75764e+07,8.74942e+07,ns,,,,,
"StarSchemaDataMicroBenchmarkFixture/PrototypeBestCase/18/3",7,1.03072e+08,1.02965e+08,ns,,,,,
"StarSchemaDataMicroBenchmarkFixture/PrototypeBestCase/19/1",10,7.59409e+07,7.58663e+07,ns,,,,,
"StarSchemaDataMicroBenchmarkFixture/PrototypeBestCase/19/2",8,8.57135e+07,8.56722e+07,ns,,,,,
"StarSchemaDataMicroBenchmarkFixture/PrototypeBestCase/19/3",7,1.0322e+08,1.03201e+08,ns,,,,,
"StarSchemaDataMicroBenchmarkFixture/PrototypeBestCase/20/1",10,7.1914e+07,7.1845e+07,ns,,,,,
"StarSchemaDataMicroBenchmarkFixture/PrototypeBestCase/20/2",8,8.76394e+07,8.75292e+07,ns,,,,,
"StarSchemaDataMicroBenchmarkFixture/PrototypeBestCase/20/3",7,1.03273e+08,1.03025e+08,ns,,,,,
"StarSchemaDataMicroBenchmarkFixture/PrototypeBadCase/18/1",6,1.14264e+08,1.14245e+08,ns,,,,,
"StarSchemaDataMicroBenchmarkFixture/PrototypeBadCase/18/2",6,1.25828e+08,1.25777e+08,ns,,,,,
"StarSchemaDataMicroBenchmarkFixture/PrototypeBadCase/18/3",5,1.41438e+08,1.41366e+08,ns,,,,,
"StarSchemaDataMicroBenchmarkFixture/PrototypeBadCase/19/1",6,1.14603e+08,1.1453e+08,ns,,,,,
"StarSchemaDataMicroBenchmarkFixture/PrototypeBadCase/19/2",6,1.26265e+08,1.26164e+08,ns,,,,,
"StarSchemaDataMicroBenchmarkFixture/PrototypeBadCase/19/3",5,1.41207e+08,1.41173e+08,ns,,,,,
"StarSchemaDataMicroBenchmarkFixture/PrototypeBadCase/20/1",6,1.14888e+08,1.14775e+08,ns,,,,,
"StarSchemaDataMicroBenchmarkFixture/PrototypeBadCase/20/2",5,1.28286e+08,1.28165e+08,ns,,,,,
"StarSchemaDataMicroBenchmarkFixture/PrototypeBadCase/20/3",5,1.40892e+08,1.40786e+08,ns,,,,,
