vector_size,hitrate,distinctiveness,filter_size,k,hash_function,build_time_us,probe_time_us
10000,10000,0.01,16,1,0,19,18
10000,10000,0.01,17,1,0,18,18
10000,10000,0.01,18,1,0,40,40
10000,10000,0.01,19,1,0,41,39
10000,10000,0.01,20,1,0,41,40
10000,10000,0.01,21,1,0,41,39
10000,10000,0.01,16,2,0,87,60
10000,10000,0.01,17,2,0,92,66
10000,10000,0.01,18,2,0,74,66
10000,10000,0.01,19,2,0,74,65
10000,10000,0.01,20,2,0,74,66
10000,10000,0.01,21,2,0,74,65
10000,10000,0.01,16,3,0,115,104
10000,10000,0.01,17,3,0,109,91
10000,10000,0.01,18,3,0,107,91
10000,10000,0.01,19,3,0,108,91
10000,10000,0.01,20,3,0,108,91
10000,10000,0.01,21,3,0,127,91
10000,10000,0.01,16,1,1,41,39
10000,10000,0.01,17,1,1,30,18
10000,10000,0.01,18,1,1,18,18
10000,10000,0.01,19,1,1,18,18
10000,10000,0.01,20,1,1,18,18
10000,10000,0.01,21,1,1,19,18
10000,10000,0.01,16,2,1,39,27
10000,10000,0.01,17,2,1,33,28
10000,10000,0.01,18,2,1,33,29
10000,10000,0.01,19,2,1,33,29
10000,10000,0.01,20,2,1,33,29
10000,10000,0.01,21,2,1,33,29
10000,10000,0.01,16,3,1,79,87
10000,10000,0.01,17,3,1,108,91
10000,10000,0.01,18,3,1,107,91
10000,10000,0.01,19,3,1,107,91
10000,10000,0.01,20,3,1,109,129
10000,10000,0.01,21,3,1,109,50
10000,10000,0.1,16,1,0,18,18
10000,10000,0.1,17,1,0,18,18
10000,10000,0.1,18,1,0,18,18
10000,10000,0.1,19,1,0,18,18
10000,10000,0.1,20,1,0,18,17
10000,10000,0.1,21,1,0,19,18
10000,10000,0.1,16,2,0,34,26
10000,10000,0.1,17,2,0,33,42
10000,10000,0.1,18,2,0,58,65
10000,10000,0.1,19,2,0,74,65
10000,10000,0.1,20,2,0,74,65
10000,10000,0.1,21,2,0,74,65
10000,10000,0.1,16,3,0,104,87
10000,10000,0.1,17,3,0,107,112
10000,10000,0.1,18,3,0,108,91
10000,10000,0.1,19,3,0,106,91
10000,10000,0.1,20,3,0,107,91
10000,10000,0.1,21,3,0,107,91
10000,10000,0.1,16,1,1,41,39
10000,10000,0.1,17,1,1,42,40
10000,10000,0.1,18,1,1,41,39
10000,10000,0.1,19,1,1,41,39
10000,10000,0.1,20,1,1,41,40
10000,10000,0.1,21,1,1,42,40
10000,10000,0.1,16,2,1,76,61
10000,10000,0.1,17,2,1,72,65
10000,10000,0.1,18,2,1,94,65
10000,10000,0.1,19,2,1,74,65
10000,10000,0.1,20,2,1,74,65
10000,10000,0.1,21,2,1,74,65
10000,10000,0.1,16,3,1,105,87
10000,10000,0.1,17,3,1,107,111
10000,10000,0.1,18,3,1,107,80
