reduction_type,benchmark,query,input_count,output_count
semi,tpch,TPC-H 02,100000,20042
semi,tpch,TPC-H 02,8000000,31496
semi,tpch,TPC-H 02,31496,6258
semi,tpch,TPC-H 03,32559112,299650
semi,tpch,TPC-H 04,59986052,2297233
semi,tpch,TPC-H 05,100000,20051
semi,tpch,TPC-H 05,59986052,12029389
semi,tpch,TPC-H 05,12029389,1828106
semi,tpch,TPC-H 07,1500000,119279
semi,tpch,TPC-H 07,100000,8054
semi,tpch,TPC-H 07,18230325,1469197
semi,tpch,TPC-H 07,15000000,1191905
semi,tpch,TPC-H 07,1469197,116874
semi,tpch,TPC-H 08,4557513,119026
semi,tpch,TPC-H 09,8000000,432928
semi,tpch,TPC-H 10,14808183,1079287
semi,tpch,TPC-H 12,15000000,291762
semi,tpch,TPC-H 16,8000000,1191152
semi,tpch,TPC-H 17,59986052,59460
semi,tpch,TPC-H 19,2141904,5056
semi,tpch,TPC-H 20,9106637,98770
semi,tpch,TPC-H 20,98770,98770
semi,tpch,TPC-H 21,59986052,2405258
semi,tpch,TPC-H 21,59986052,3462257
prototype,tpch,TPC-H 02,100000,20042
prototype,tpch,TPC-H 02,8000000,246088
prototype,tpch,TPC-H 02,246088,86419
prototype,tpch,TPC-H 03,32559112,32559112
prototype,tpch,TPC-H 04,59986052,59986052
prototype,tpch,TPC-H 05,100000,20051
prototype,tpch,TPC-H 05,59986052,20964797
prototype,tpch,TPC-H 05,20964797,20964797
prototype,tpch,TPC-H 07,100000,8054
prototype,tpch,TPC-H 07,18230325,1831902
prototype,tpch,TPC-H 07,1500000,119279
prototype,tpch,TPC-H 07,15000000,14849283
prototype,tpch,TPC-H 07,1831902,1831902
prototype,tpch,TPC-H 08,4557513,4557513
prototype,tpch,TPC-H 09,8000000,7848216
prototype,tpch,TPC-H 10,14808183,14808183
prototype,tpch,TPC-H 12,15000000,15000000
prototype,tpch,TPC-H 16,8000000,8000000
prototype,tpch,TPC-H 17,59986052,97636
prototype,tpch,TPC-H 19,2141904,20689
prototype,tpch,TPC-H 20,9106637,2305849
prototype,tpch,TPC-H 20,2305849,2144708
prototype,tpch,TPC-H 21,59986052,2596380
prototype,tpch,TPC-H 21,59986052,59986052
legacy,tpch,TPC-H 02,100000,20042
legacy,tpch,TPC-H 02,8000000,61396
legacy,tpch,TPC-H 02,61396,12239
legacy,tpch,TPC-H 03,32559112,32456487
legacy,tpch,TPC-H 04,59986052,53519330
