INPUT_ROWS_LEFT,OUTPUT_ROWS,RUNTIME_NS,SCAN_TYPE,TABLE_NAME,COLUMN_NAME
0,0,29923,REFERENCE_SCAN,_cmc_1000_100,int_Unencoded_Uniform_0_1000
8,7,151598,REFERENCE_SCAN,_cmc_1000_100,int_Unencoded_Uniform_0_1000
24,23,130902,REFERENCE_SCAN,_cmc_1000_100,int_Unencoded_Uniform_0_1000
36,35,139954,REFERENCE_SCAN,_cmc_1000_100,int_Unencoded_Uniform_0_1000
47,46,145168,REFERENCE_SCAN,_cmc_1000_100,int_Unencoded_Uniform_0_1000
60,59,151811,REFERENCE_SCAN,_cmc_1000_100,int_Unencoded_Uniform_0_1000
67,66,162232,REFERENCE_SCAN,_cmc_1000_100,int_Unencoded_Uniform_0_1000
79,78,165402,REFERENCE_SCAN,_cmc_1000_100,int_Unencoded_Uniform_0_1000
88,87,176230,REFERENCE_SCAN,_cmc_1000_100,int_Unencoded_Uniform_0_1000
92,91,172112,REFERENCE_SCAN,_cmc_1000_100,int_Unencoded_Uniform_0_1000
100,99,134123,COLUMN_SCAN,_cmc_1000_100,int_Unencoded_Uniform_0_1000
100,99,190737,REFERENCE_SCAN,_cmc_1000_100,int_Unencoded_Uniform_0_1000
0,0,27686,REFERENCE_SCAN,_cmc_1000_100,int_Unencoded_Uniform_0_1000
0,0,27126,REFERENCE_SCAN,_cmc_1000_100,int_Unencoded_Uniform_0_1000
4,0,63892,REFERENCE_SCAN,_cmc_1000_100,int_Unencoded_Uniform_0_1000
16,0,68358,REFERENCE_SCAN,_cmc_1000_100,int_Unencoded_Uniform_0_1000
27,0,73398,REFERENCE_SCAN,_cmc_1000_100,int_Unencoded_Uniform_0_1000
36,7,132110,REFERENCE_SCAN,_cmc_1000_100,int_Unencoded_Uniform_0_1000
46,17,141174,REFERENCE_SCAN,_cmc_1000_100,int_Unencoded_Uniform_0_1000
55,26,153474,REFERENCE_SCAN,_cmc_1000_100,int_Unencoded_Uniform_0_1000
61,32,150829,REFERENCE_SCAN,_cmc_1000_100,int_Unencoded_Uniform_0_1000
67,38,151581,REFERENCE_SCAN,_cmc_1000_100,int_Unencoded_Uniform_0_1000
77,48,155948,REFERENCE_SCAN,_cmc_1000_100,int_Unencoded_Uniform_0_1000
100,71,132641,COLUMN_SCAN,_cmc_1000_100,int_Unencoded_Uniform_0_1000
100,71,172958,REFERENCE_SCAN,_cmc_1000_100,int_Unencoded_Uniform_0_1000
0,0,27864,REFERENCE_SCAN,_cmc_1000_100,int_Unencoded_Uniform_0_1000
0,0,27694,REFERENCE_SCAN,_cmc_1000_100,int_Unencoded_Uniform_0_1000
3,0,63153,REFERENCE_SCAN,_cmc_1000_100,int_Unencoded_Uniform_0_1000
