QUERY_HASH,SCAN_TYPE,TABLE_NAME,COLUMN_NAME,INPUT_ROWS,OUTPUT_ROWS,RUNTIME_NS,DESCRIPTION
ce407f4711b9253e,COLUMN_SCAN,customer,c_acctbal,150000,68274,18720022,"TableScan Impl: ColumnVsValue c_acctbal > SUBQUERY (PQP, 0x179d55098)"
ce407f4711b9253e,REFERENCE_SCAN,customer,c_phone,68274,18927,9302836,"TableScan Impl: ExpressionEvaluator (SUBSTR(c_phone, 1, 2)) IN ('14', '31', '12', '22', '23', '27', '17')"
5d56255b524da073,COLUMN_SCAN,customer,c_acctbal,150000,68269,19204111,"TableScan Impl: ColumnVsValue c_acctbal > SUBQUERY (PQP, 0x179d54b98)"
5d56255b524da073,REFERENCE_SCAN,customer,c_phone,68269,18730,8566965,"TableScan Impl: ExpressionEvaluator (SUBSTR(c_phone, 1, 2)) IN ('27', '25', '13', '16', '10', '17', '30')"
5e9d99510416a6d1,COLUMN_SCAN,customer,c_acctbal,150000,68247,19987001,"TableScan Impl: ColumnVsValue c_acctbal > SUBQUERY (PQP, 0x179d54a58)"
5e9d99510416a6d1,REFERENCE_SCAN,customer,c_phone,68247,19139,8812231,"TableScan Impl: ExpressionEvaluator (SUBSTR(c_phone, 1, 2)) IN ('15', '33', '28', '26', '19', '12', '16')"
2cd74514746d5795,COLUMN_SCAN,customer,c_acctbal,150000,68169,23559993,"TableScan Impl: ColumnVsValue c_acctbal > SUBQUERY (PQP, 0x179d54698)"
2cd74514746d5795,REFERENCE_SCAN,customer,c_phone,68169,18958,8690607,"TableScan Impl: ExpressionEvaluator (SUBSTR(c_phone, 1, 2)) IN ('10', '34', '14', '17', '12', '16', '33')"
1f6b27f4e9f6c3eb,COLUMN_SCAN,customer,c_acctbal,150000,67628,19493769,"TableScan Impl: ColumnVsValue c_acctbal > SUBQUERY (PQP, 0x179d54558)"
1f6b27f4e9f6c3eb,REFERENCE_SCAN,customer,c_phone,67628,19135,9755106,"TableScan Impl: ExpressionEvaluator (SUBSTR(c_phone, 1, 2)) IN ('18', '34', '31', '24', '14', '26', '27')"
a3965f0f49dccfca,COLUMN_SCAN,lineitem,l_shipdate,6001215,1828450,16184523,"TableScan Impl: ColumnBetween l_shipdate BETWEEN INCLUSIVE '1995-01-01' AND '1996-12-31'"
a3965f0f49dccfca,REFERENCE_SCAN,nation,n_name,1828450,6016,187790231,"TableScan Impl: ExpressionEvaluator (n_name = 'IRAN' AND n_name = 'ALGERIA') OR (n_name = 'ALGERIA' AND n_name = 'IRAN')"
a3965f0f49dccfca,REFERENCE_SCAN,nation,n_name,1828450,6016,187790231,"TableScan Impl: ExpressionEvaluator (n_name = 'IRAN' AND n_name = 'ALGERIA') OR (n_name = 'ALGERIA' AND n_name = 'IRAN')"
a3965f0f49dccfca,REFERENCE_SCAN,nation,n_name,1828450,6016,187790231,"TableScan Impl: ExpressionEvaluator (n_name = 'IRAN' AND n_name = 'ALGERIA') OR (n_name = 'ALGERIA' AND n_name = 'IRAN')"
a3965f0f49dccfca,REFERENCE_SCAN,nation,n_name,1828450,6016,187790231,"TableScan Impl: ExpressionEvaluator (n_name = 'IRAN' AND n_name = 'ALGERIA') OR (n_name = 'ALGERIA' AND n_name = 'IRAN')"
7daf930e2aeb1f5c,REFERENCE_SCAN,part,p_brand,214377,119,113420147,"TableScan Impl: ExpressionEvaluator (((((p_size BETWEEN INCLUSIVE 1 AND 15 AND l_quantity <= 36) AND l_quantity >= 26) AND (p_container) IN ('LG CASE', 'LG BOX', 'LG PACK', 'LG PKG')) AND p_brand = 'Brand#25') OR ((((p_size BETWEEN INCLUSIVE 1 AND 5 AND l_quantity <= 13) AND l_quantity >= 3) AND (p_container) IN ('SM CASE', 'SM BOX', 'SM PACK', 'SM PKG')) AND p_brand = 'Brand#42')) OR ((((p_size BETWEEN INCLUSIVE 1 AND 10 AND l_quantity <= 28) AND l_quantity >= 18) AND (p_container) IN ('MED BAG', 'MED BOX', 'MED PKG', 'MED PACK')) AND p_brand = 'Brand#15')"
7daf930e2aeb1f5c,REFERENCE_SCAN,part,p_brand,214377,119,113420147,"TableScan Impl: ExpressionEvaluator (((((p_size BETWEEN INCLUSIVE 1 AND 15 AND l_quantity <= 36) AND l_quantity >= 26) AND (p_container) IN ('LG CASE', 'LG BOX', 'LG PACK', 'LG PKG')) AND p_brand = 'Brand#25') OR ((((p_size BETWEEN INCLUSIVE 1 AND 5 AND l_quantity <= 13) AND l_quantity >= 3) AND (p_container) IN ('SM CASE', 'SM BOX', 'SM PACK', 'SM PKG')) AND p_brand = 'Brand#42')) OR ((((p_size BETWEEN INCLUSIVE 1 AND 10 AND l_quantity <= 28) AND l_quantity >= 18) AND (p_container) IN ('MED BAG', 'MED BOX', 'MED PKG', 'MED PACK')) AND p_brand = 'Brand#15')"
7daf930e2aeb1f5c,REFERENCE_SCAN,part,p_brand,214377,119,113420147,"TableScan Impl: ExpressionEvaluator (((((p_size BETWEEN INCLUSIVE 1 AND 15 AND l_quantity <= 36) AND l_quantity >= 26) AND (p_container) IN ('LG CASE', 'LG BOX', 'LG PACK', 'LG PKG')) AND p_brand = 'Brand#25') OR ((((p_size BETWEEN INCLUSIVE 1 AND 5 AND l_quantity <= 13) AND l_quantity >= 3) AND (p_container) IN ('SM CASE', 'SM BOX', 'SM PACK', 'SM PKG')) AND p_brand = 'Brand#42')) OR ((((p_size BETWEEN INCLUSIVE 1 AND 10 AND l_quantity <= 28) AND l_quantity >= 18) AND (p_container) IN ('MED BAG', 'MED BOX', 'MED PKG', 'MED PACK')) AND p_brand = 'Brand#15')"
7daf930e2aeb1f5c,REFERENCE_SCAN,part,p_container,214377,119,113420147,"TableScan Impl: ExpressionEvaluator (((((p_size BETWEEN INCLUSIVE 1 AND 15 AND l_quantity <= 36) AND l_quantity >= 26) AND (p_container) IN ('LG CASE', 'LG BOX', 'LG PACK', 'LG PKG')) AND p_brand = 'Brand#25') OR ((((p_size BETWEEN INCLUSIVE 1 AND 5 AND l_quantity <= 13) AND l_quantity >= 3) AND (p_container) IN ('SM CASE', 'SM BOX', 'SM PACK', 'SM PKG')) AND p_brand = 'Brand#42')) OR ((((p_size BETWEEN INCLUSIVE 1 AND 10 AND l_quantity <= 28) AND l_quantity >= 18) AND (p_container) IN ('MED BAG', 'MED BOX', 'MED PKG', 'MED PACK')) AND p_brand = 'Brand#15')"
7daf930e2aeb1f5c,REFERENCE_SCAN,part,p_container,214377,119,113420147,"TableScan Impl: ExpressionEvaluator (((((p_size BETWEEN INCLUSIVE 1 AND 15 AND l_quantity <= 36) AND l_quantity >= 26) AND (p_container) IN ('LG CASE', 'LG BOX', 'LG PACK', 'LG PKG')) AND p_brand = 'Brand#25') OR ((((p_size BETWEEN INCLUSIVE 1 AND 5 AND l_quantity <= 13) AND l_quantity >= 3) AND (p_container) IN ('SM CASE', 'SM BOX', 'SM PACK', 'SM PKG')) AND p_brand = 'Brand#42')) OR ((((p_size BETWEEN INCLUSIVE 1 AND 10 AND l_quantity <= 28) AND l_quantity >= 18) AND (p_container) IN ('MED BAG', 'MED BOX', 'MED PKG', 'MED PACK')) AND p_brand = 'Brand#15')"
7daf930e2aeb1f5c,REFERENCE_SCAN,part,p_container,214377,119,113420147,"TableScan Impl: ExpressionEvaluator (((((p_size BETWEEN INCLUSIVE 1 AND 15 AND l_quantity <= 36) AND l_quantity >= 26) AND (p_container) IN ('LG CASE', 'LG BOX', 'LG PACK', 'LG PKG')) AND p_brand = 'Brand#25') OR ((((p_size BETWEEN INCLUSIVE 1 AND 5 AND l_quantity <= 13) AND l_quantity >= 3) AND (p_container) IN ('SM CASE', 'SM BOX', 'SM PACK', 'SM PKG')) AND p_brand = 'Brand#42')) OR ((((p_size BETWEEN INCLUSIVE 1 AND 10 AND l_quantity <= 28) AND l_quantity >= 18) AND (p_container) IN ('MED BAG', 'MED BOX', 'MED PKG', 'MED PACK')) AND p_brand = 'Brand#15')"
7daf930e2aeb1f5c,REFERENCE_SCAN,lineitem,l_quantity,214377,119,113420147,"TableScan Impl: ExpressionEvaluator (((((p_size BETWEEN INCLUSIVE 1 AND 15 AND l_quantity <= 36) AND l_quantity >= 26) AND (p_container) IN ('LG CASE', 'LG BOX', 'LG PACK', 'LG PKG')) AND p_brand = 'Brand#25') OR ((((p_size BETWEEN INCLUSIVE 1 AND 5 AND l_quantity <= 13) AND l_quantity >= 3) AND (p_container) IN ('SM CASE', 'SM BOX', 'SM PACK', 'SM PKG')) AND p_brand = 'Brand#42')) OR ((((p_size BETWEEN INCLUSIVE 1 AND 10 AND l_quantity <= 28) AND l_quantity >= 18) AND (p_container) IN ('MED BAG', 'MED BOX', 'MED PKG', 'MED PACK')) AND p_brand = 'Brand#15')"
7daf930e2aeb1f5c,REFERENCE_SCAN,lineitem,l_quantity,214377,119,113420147,"TableScan Impl: ExpressionEvaluator (((((p_size BETWEEN INCLUSIVE 1 AND 15 AND l_quantity <= 36) AND l_quantity >= 26) AND (p_container) IN ('LG CASE', 'LG BOX', 'LG PACK', 'LG PKG')) AND p_brand = 'Brand#25') OR ((((p_size BETWEEN INCLUSIVE 1 AND 5 AND l_quantity <= 13) AND l_quantity >= 3) AND (p_container) IN ('SM CASE', 'SM BOX', 'SM PACK', 'SM PKG')) AND p_brand = 'Brand#42')) OR ((((p_size BETWEEN INCLUSIVE 1 AND 10 AND l_quantity <= 28) AND l_quantity >= 18) AND (p_container) IN ('MED BAG', 'MED BOX', 'MED PKG', 'MED PACK')) AND p_brand = 'Brand#15')"
7daf930e2aeb1f5c,REFERENCE_SCAN,lineitem,l_quantity,214377,119,113420147,"TableScan Impl: ExpressionEvaluator (((((p_size BETWEEN INCLUSIVE 1 AND 15 AND l_quantity <= 36) AND l_quantity >= 26) AND (p_container) IN ('LG CASE', 'LG BOX', 'LG PACK', 'LG PKG')) AND p_brand = 'Brand#25') OR ((((p_size BETWEEN INCLUSIVE 1 AND 5 AND l_quantity <= 13) AND l_quantity >= 3) AND (p_container) IN ('SM CASE', 'SM BOX', 'SM PACK', 'SM PKG')) AND p_brand = 'Brand#42')) OR ((((p_size BETWEEN INCLUSIVE 1 AND 10 AND l_quantity <= 28) AND l_quantity >= 18) AND (p_container) IN ('MED BAG', 'MED BOX', 'MED PKG', 'MED PACK')) AND p_brand = 'Brand#15')"
7daf930e2aeb1f5c,REFERENCE_SCAN,part,p_size,214377,119,113420147,"TableScan Impl: ExpressionEvaluator (((((p_size BETWEEN INCLUSIVE 1 AND 15 AND l_quantity <= 36) AND l_quantity >= 26) AND (p_container) IN ('LG CASE', 'LG BOX', 'LG PACK', 'LG PKG')) AND p_brand = 'Brand#25') OR ((((p_size BETWEEN INCLUSIVE 1 AND 5 AND l_quantity <= 13) AND l_quantity >= 3) AND (p_container) IN ('SM CASE', 'SM BOX', 'SM PACK', 'SM PKG')) AND p_brand = 'Brand#42')) OR ((((p_size BETWEEN INCLUSIVE 1 AND 10 AND l_quantity <= 28) AND l_quantity >= 18) AND (p_container) IN ('MED BAG', 'MED BOX', 'MED PKG', 'MED PACK')) AND p_brand = 'Brand#15')"
7daf930e2aeb1f5c,REFERENCE_SCAN,lineitem,l_quantity,214377,119,113420147,"TableScan Impl: ExpressionEvaluator (((((p_size BETWEEN INCLUSIVE 1 AND 15 AND l_quantity <= 36) AND l_quantity >= 26) AND (p_container) IN ('LG CASE', 'LG BOX', 'LG PACK', 'LG PKG')) AND p_brand = 'Brand#25') OR ((((p_size BETWEEN INCLUSIVE 1 AND 5 AND l_quantity <= 13) AND l_quantity >= 3) AND (p_container) IN ('SM CASE', 'SM BOX', 'SM PACK', 'SM PKG')) AND p_brand = 'Brand#42')) OR ((((p_size BETWEEN INCLUSIVE 1 AND 10 AND l_quantity <= 28) AND l_quantity >= 18) AND (p_container) IN ('MED BAG', 'MED BOX', 'MED PKG', 'MED PACK')) AND p_brand = 'Brand#15')"
7daf930e2aeb1f5c,REFERENCE_SCAN,part,p_size,214377,119,113420147,"TableScan Impl: ExpressionEvaluator (((((p_size BETWEEN INCLUSIVE 1 AND 15 AND l_quantity <= 36) AND l_quantity >= 26) AND (p_container) IN ('LG CASE', 'LG BOX', 'LG PACK', 'LG PKG')) AND p_brand = 'Brand#25') OR ((((p_size BETWEEN INCLUSIVE 1 AND 5 AND l_quantity <= 13) AND l_quantity >= 3) AND (p_container) IN ('SM CASE', 'SM BOX', 'SM PACK', 'SM PKG')) AND p_brand = 'Brand#42')) OR ((((p_size BETWEEN INCLUSIVE 1 AND 10 AND l_quantity <= 28) AND l_quantity >= 18) AND (p_container) IN ('MED BAG', 'MED BOX', 'MED PKG', 'MED PACK')) AND p_brand = 'Brand#15')"
